Year,POP,URB,GDP,ENGY,FFEC%,NFFEC%,FFEC,NFFEC,CO2E,CO2C,TMPI,TMPA
1960,30.945383405,9.331689319,0.634564959265563,7.50361926465776,0.94,0.06,7.05340210877829,0.450217155879465,9.39,316.91,0.03,-0.115487024
1961,31.353506331,9.609697012,0.661575833786445,7.81586899855413,0.941,0.0590000000000001,7.35473272763944,0.461136270914694,9.42,317.64,0.01,-0.019997388
1962,31.910116379,9.9229429,0.70399823337049,8.23369730390591,0.942,0.058,7.75614286027937,0.477554443626542,9.75,318.45,-0.01,-0.06405444
1963,32.60163141,10.268884459,0.747171856773136,8.56891425383116,0.944,0.056,8.08905505561661,0.479859198214544,10.27,318.99,-0.03,-0.03680589
1964,33.298712504,10.624365351,0.810593851373239,8.98757604025254,0.94,0.06,8.44832147783739,0.539254562415153,10.83,319.62,-0.04,-0.30586675
1965,34.013032169,10.929056801,0.970412369015657,9.24254764796317,0.94,0.06,8.68799478908538,0.55455285887779,11.32,320.04,-0.05,-0.2043879
1966,34.764917974,11.242311545,1.0739448160647,9.50860907907859,0.94,0.06,8.93809253433387,0.570516544744716,11.87,321.37,-0.06,-0.14888458
1967,35.514764369,11.562401349,1.1206393497068,10.1093967311624,0.94,0.06,9.50283292729263,0.606563803869743,12.24,322.18,-0.05,-0.11751631
1968,36.282842348,11.890684468,1.18346324029737,10.7050365943337,0.94,0.06,10.0627343986737,0.642302195660025,12.91,323.05,-0.03,-0.1686323
1969,37.078537544,12.228387899,1.28167748401118,11.5865948211319,0.94,0.06,10.891399131864,0.695195689267913,13.77,324.62,-0.02,-0.031366713
1970,37.891427721,12.572682695,1.62944324507471,26.0379770532144,0.94,0.06,24.4756984300215,1.56227862319286,14.9,325.68,-0.01,-0.08510657
1971,38.731041592,12.933371302,1.83640505391124,26.4840361446642,0.85,0.15,22.5114307229645,3.97260542169962,15.5,326.32,0,-0.20593274
1972,39.55530426,13.300191314,2.12214565124495,28.5771028090036,0.84,0.16,24.004766359563,4.57233644944057,16.22,327.46,0,-0.0938271
1973,40.378311604,13.682510922,2.6511392969225,27.9826692580596,0.85,0.15,23.7852688693506,4.19740038870894,17.08,329.68,0,0.04993336
