"Año";"Periodo";"CO2"
"1991";"Noviembre";"354,95"
"1991";"Diciembre";"356,42"
"1992";"Enero";"356,73"
"1992";"Febrero";"356,89"
"1992";"Marzo";"357,68"
"1992";"Abril";"359,01"
"1992";"Mayo";"359,69"
"1992";"Junio";"358,85"
"1992";"Julio";"356,94"
"1992";"Agosto";"353,84"
"1992";"Septiembre";"353,01"
"1992";"Octubre";"354,21"
"1992";"Noviembre";"355,33"
"1992";"Diciembre";"356,87"
"1993";"Enero";"358,35"
"1993";"Febrero";"359,35"
"1993";"Marzo";"360,16"
"1993";"Abril";"360,85"
"1993";"Mayo";"360,76"
"1993";"Junio";"359,36"
"1993";"Julio";"357,16"
"1993";"Agosto";"354,32"
"1993";"Septiembre";"353,09"
"1993";"Octubre";"354,65"
"1993";"Noviembre";"357,4"
"1993";"Diciembre";"358,84"
"1994";"Enero";"359,4"
"1994";"Febrero";"359,71"
"1994";"Marzo";"360,14"
"1994";"Abril";"361,44"
"1994";"Mayo";"362,07"
"1994";"Junio";"360,98"
"1994";"Julio";"358,57"
"1994";"Agosto";"355,83"
"1994";"Septiembre";"355,18"
"1994";"Octubre";"356,29"
"1994";"Noviembre";"357,63"
"1994";"Diciembre";"359,12"
"1995";"Enero";"360,7"
"1995";"Febrero";"362,12"
"1995";"Marzo";"363,1"
"1995";"Abril";"363,76"
"1995";"Mayo";"364,76"
"1995";"Junio";"365,33"
"1995";"Julio";"362,86"
"1995";"Agosto";"359,13"
"1995";"Septiembre";"358,26"
"1995";"Octubre";"359,03"
"1995";"Noviembre";"360,84"
"1995";"Diciembre";"363,15"
"1996";"Enero";"364,86"
"1996";"Febrero";"365,71"
"1996";"Marzo";"365,46"
"1996";"Abril";"366,16"
"1996";"Mayo";"367,02"
"1996";"Junio";"365,99"
"1996";"Julio";"363,48"
"1996";"Agosto";"360,17"
"1996";"Septiembre";"358,51"
"1996";"Octubre";"359,47"
"1996";"Noviembre";"361,19"
"1996";"Diciembre";"362,79"
"1997";"Enero";"364,17"
"1997";"Febrero";"365,01"
"1997";"Marzo";"365,91"
"1997";"Abril";"366,81"
"1997";"Mayo";"366,78"
"1997";"Junio";"364,93"
"1997";"Julio";"362,54"
"1997";"Agosto";"361,03"
"1997";"Septiembre";"360,56"
"1997";"Octubre";"361,65"
"1997";"Noviembre";"363,74"
"1997";"Diciembre";"365,43"
"1998";"Enero";"366,62"
"1998";"Febrero";"367,48"
"1998";"Agosto";"365,18"
"1998";"Septiembre";"364,27"
"1998";"Octubre";"364,45"
"1998";"Noviembre";"367,08"
"1998";"Diciembre";"369,41"
"1999";"Enero";"370,06"
"1999";"Febrero";"370,49"
"1999";"Marzo";"371,38"
"1999";"Abril";"371,42"
"1999";"Mayo";"371,09"
"1999";"Junio";"370,95"
"1999";"Julio";"368,33"
"1999";"Agosto";"364,89"
"1999";"Septiembre";"364,46"
"1999";"Octubre";"365,82"
"1999";"Noviembre";"367,34"
"1999";"Diciembre";"368,8"
"2000";"Enero";"370,31"
"2000";"Febrero";"371,23"
"2000";"Marzo";"372,06"
"2000";"Abril";"373,42"
"2000";"Mayo";"373,55"
"2000";"Junio";"372,23"
"2000";"Julio";"369,5"
"2000";"Agosto";"366,78"
"2000";"Septiembre";"367,08"
"2000";"Octubre";"368,62"
"2000";"Noviembre";"369,63"
"2000";"Diciembre";"371"
"2001";"Enero";"372,08"
"2001";"Febrero";"372,5"
"2001";"Marzo";"373,82"
"2001";"Abril";"375,71"
"2001";"Mayo";"375,8"
"2001";"Junio";"373,2"
"2001";"Julio";"370,32"
"2001";"Agosto";"368,72"
"2001";"Septiembre";"367,83"
"2001";"Octubre";"369,29"
"2001";"Noviembre";"371,86"
"2001";"Diciembre";"372,6"
"2002";"Enero";"373,26"
"2002";"Febrero";"375,18"
"2002";"Marzo";"375,98"
"2002";"Abril";"375,87"
"2002";"Mayo";"375,21"
"2002";"Junio";"373,48"
"2002";"Julio";"371,88"
"2002";"Agosto";"369,99"
"2002";"Septiembre";"369,27"
"2002";"Octubre";"370,29"
"2002";"Noviembre";"372"
"2002";"Diciembre";"373,47"
"2003";"Enero";"373,87"
"2003";"Febrero";"373,99"
"2003";"Marzo";"375,38"
"2003";"Abril";"377,33"
"2003";"Mayo";"378,08"
"2003";"Junio";"377,16"
"2003";"Julio";"375,16"
"2003";"Agosto";"372,76"
"2003";"Septiembre";"371,76"
"2003";"Octubre";"372,44"
"2003";"Noviembre";"374,71"
"2003";"Diciembre";"375,79"
"2004";"Enero";"376,57"
"2004";"Febrero";"379,06"
"2004";"Marzo";"379,17"
"2004";"Abril";"378,91"
"2004";"Mayo";"379,52"
"2004";"Junio";"379,08"
"2004";"Julio";"376,82"
"2004";"Agosto";"373,45"
"2004";"Septiembre";"372,07"
"2004";"Octubre";"373,71"
"2004";"Noviembre";"377,25"
"2004";"Diciembre";"378,66"
"2005";"Enero";"378,71"
"2005";"Febrero";"380,33"
"2005";"Marzo";"381,08"
"2005";"Abril";"380,7"
"2005";"Mayo";"380,89"
"2005";"Junio";"379,22"
"2005";"Julio";"375,64"
"2005";"Agosto";"374,75"
"2005";"Septiembre";"374,71"
"2005";"Octubre";"375,73"
"2005";"Noviembre";"379,05"
"2005";"Diciembre";"381,05"
"2006";"Enero";"382,47"
"2006";"Febrero";"383,24"
"2006";"Marzo";"383,06"
"2006";"Abril";"383,41"
"2006";"Mayo";"383,59"
"2006";"Junio";"382,25"
"2006";"Julio";"379,88"
"2006";"Agosto";"378,44"
"2006";"Septiembre";"378,3"
"2006";"Octubre";"379,31"
"2006";"Noviembre";"380,78"
"2006";"Diciembre";"382,01"
"2007";"Enero";"382,51"
